customer_id,age,time_spent,pages_viewed,basket_value,device_type,customer_type,category,num_sessions,purchase
90,33,3.51,16,75.17,Desktop,Returning,Home Goods,1,0
91,62,10.24,10,25.72,Desktop,New,Electronics,2,0
92,35,11.12,29,100.93,Tablet,Returning,Electronics,4,1
93,64,8.63,10,72.29,Tablet,Returning,Home Goods,2,0
94,41,21.71,29,31.42,Mobile,New,Fashion,2,0
95,43,23.01,19,2.06,Mobile,New,Fashion,13,1
96,42,13.24,10,110.95,Mobile,Returning,Electronics,6,0
97,62,13.1,6,19.34,Tablet,Returning,Fashion,4,0
98,58,52.9,17,143.89,Mobile,Returning,Fashion,15,1
99,46,46.72,5,43.62,Tablet,New,Electronics,3,0
100,32,11.04,26,68.85,Mobile,New,Electronics,4,1
101,62,19.92,15,0.0,Mobile,New,Home Goods,17,1
102,18,91.61,27,159.39,Mobile,Returning,Fashion,6,1
103,42,11.87,24,37.16,Mobile,Returning,Fashion,2,0
104,24,13.13,27,18.75,Tablet,Returning,Fashion,13,0
105,26,21.13,15,119.38,Mobile,Returning,Electronics,15,1
106,41,84.97,25,45.4,Mobile,New,Electronics,5,0
107,18,19.92,15,0.0,Unknown,New,Electronics,19,1
108,61,3.25,19,187.83,Mobile,New,Fashion,6,1
109,25,14.96,18,17.66,Mobile,New,Electronics,17,0
110,41,24.18,29,2.09,Mobile,New,Electronics,1,0
111,28,20.98,4,1.64,Tablet,Returning,Fashion,2,0
112,68,6.47,8,77.9,Mobile,Returning,Electronics,1,1
113,34,58.73,27,86.7,Mobile,Returning,Electronics,8,1
114,25,33.9,16,29.81,Desktop,Returning,Home Goods,4,1
115,52,54.59,24,30.85,Mobile,Returning,Home Goods,18,0
116,52,58.72,19,33.18,Mobile,Returning,Electronics,9,0
117,50,41.39,20,91.19,Desktop,New,Home Goods,15,1
118,22,17.35,3,4.79,Mobile,Returning,Electronics,16,0
119,59,28.29,10,211.74,Desktop,New,Home Goods,3,1
120,56,5.24,2,20.14,Mobile,New,Fashion,1,0
121,58,33.59,4,642.09,Desktop,New,Electronics,13,0
122,45,5.93,6,15.05,Tablet,Returning,Electronics,14,1
123,24,35.52,11,118.11,Mobile,Returning,Electronics,6,0
124,26,7.83,14,20.23,Mobile,Returning,Fashion,5,0
125,25,3.75,16,6.74,Mobile,Returning,Fashion,5,0
126,29,5.42,27,166.31,Mobile,Returning,Fashion,4,1
127,51,0.06,21,156.58,Desktop,Returning,Fashion,12,0
128,50,38.05,19,41.34,Desktop,Returning,Fashion,14,0
129,65,39.55,2,96.96,Mobile,Returning,Electronics,14,0
130,40,21.7,25,65.15,Desktop,New,Home Goods,11,1
131,41,5.28,17,153.36,Mobile,New,Electronics,10,1
132,54,2.62,9,30.27,Desktop,Returning,Home Goods,10,0
133,52,0.58,17,59.33,Desktop,New,Home Goods,9,1
134,61,5.44,15,53.14,Desktop,Returning,Electronics,2,1
135,57,66.45,7,34.94,Mobile,Returning,Fashion,14,0
136,39,8.29,22,177.65,Desktop,Returning,Fashion,7,1
137,44,13.12,23,14.51,Mobile,New,Home Goods,17,1
138,52,3.34,19,12.96,Desktop,Returning,Fashion,8,1
139,18,7.54,3,68.81,Mobile,Returning,Electronics,4,0
140,52,21.97,29,85.72,Mobile,Returning,Fashion,5,1
141,54,28.08,27,17.32,Desktop,Returning,Home Goods,13,1
142,64,8.45,1,39.64,Tablet,Returning,Electronics,7,0
143,31,1.78,4,234.34,Mobile,Returning,Home Goods,6,0
144,20,14.88,28,22.65,Tablet,New,Fashion,17,1
145,18,19.92,15,0.0,Desktop,Returning,Fashion,6,1
146,22,7.44,26,107.81,Desktop,New,Electronics,19,1
147,43,96.46,8,47.56,Tablet,New,Home Goods,3,0
148,31,28.74,19,221.84,Mobile,New,Electronics,9,1
149,56,24.42,23,106.74,Desktop,Returning,Home Goods,15,1
150,44,16.12,23,0.0,Mobile,New,Home Goods,8,0
151,26,16.81,28,67.39,Mobile,New,Home Goods,15,1
152,32,19.92,15,0.0,Desktop,Returning,Electronics,1,1
153,32,35.76,6,71.76,Tablet,Returning,Fashion,8,1
154,43,36.33,1,168.76,Tablet,New,Fashion,4,1
155,59,5.65,8,35.31,Desktop,Returning,Home Goods,10,1
156,30,20.8,1,28.52,Desktop,Returning,Home Goods,16,0
157,68,15.93,19,19.25,Mobile,New,Electronics,18,0
158,49,19.92,15,0.0,Unknown,New,Fashion,4,0
159,56,29.94,21,3.52,Mobile,Returning,Fashion,8,1
160,66,22.81,24,163.25,Desktop,Returning,Home Goods,4,1
161,69,3.68,25,90.75,Desktop,Returning,Fashion,10,1
162,49,27.91,15,86.43,Desktop,Returning,Home Goods,4,1
163,21,3.74,23,76.29,Mobile,New,Fashion,16,0
164,47,12.34,25,151.35,Tablet,Returning,Electronics,12,0
165,54,4.62,11,52.36,Desktop,New,Home Goods,10,1
166,40,35.34,19,163.47,Tablet,Returning,Fashion,11,1
167,56,6.93,29,35.63,Mobile,New,Fashion,2,0
168,62,14.92,21,209.06,Desktop,Returning,Home Goods,16,1
169,32,19.92,15,0.0,Unknown,New,Electronics,19,0
170,60,6.86,24,23.78,Desktop,Returning,Home Goods,12,0
171,46,21.27,12,66.42,Tablet,Returning,Home Goods,4,1
172,53,16.3,1,60.92,Mobile,Returning,Fashion,17,0
173,30,0.55,24,11.87,Mobile,Returning,Fashion,12,0
174,49,47.22,7,71.57,Mobile,Returning,Electronics,16,1
175,24,2.15,17,30.24,Mobile,New,Fashion,3,0
176,68,19.29,29,4.3,Tablet,New,Electronics,2,0
177,39,24.68,29,237.54,Mobile,Returning,Home Goods,7,1
178,45,29.7,26,82.06,Mobile,Returning,Fashion,6,1
179,19,35.0,28,167.59,Mobile,New,Electronics,1,1
180,59,19.92,15,0.0,Unknown,New,Fashion,15,1
181,62,0.3,28,35.33,Mobile,New,Fashion,12,0
182,23,38.56,6,57.51,Mobile,Returning,Electronics,13,1
183,45,23.01,17,90.1,Mobile,New,Home Goods,8,1
184,45,54.26,18,258.02,Mobile,Returning,Fashion,9,0
185,61,51.68,5,23.41,Tablet,New,Electronics,1,1
186,61,55.61,18,166.34,Mobile,New,Electronics,5,1
187,37,19.91,26,206.24,Desktop,New,Fashion,7,1
188,47,12.18,17,88.79,Tablet,Returning,Electronics,18,1
189,28,47.04,22,214.2,Desktop,Returning,Home Goods,8,1
190,45,18.01,16,40.58,Tablet,New,Electronics,10,0
191,42,6.08,8,244.64,Tablet,Returning,Fashion,8,0
192,56,57.93,24,97.06,Mobile,New,Electronics,12,1
193,50,64.25,13,3.43,Desktop,Returning,Electronics,16,1
194,18,18.84,29,189.9,Mobile,Returning,Fashion,12,1
195,44,2.36,24,53.01,Mobile,New,Fashion,3,0
196,69,14.72,16,49.34,Desktop,Returning,Fashion,18,0
197,30,48.82,11,66.86,Desktop,Returning,Fashion,5,1
198,58,69.61,6,12.94,Desktop,New,Fashion,14,1
199,20,6.82,27,50.66,Desktop,Returning,Electronics,16,1
200,56,19.92,15,0.0,Unknown,New,Fashion,6,1
201,23,62.95,1,1.25,Tablet,Returning,Home Goods,16,0
202,25,14.8,18,25.5,Mobile,New,Electronics,14,0
203,44,23.41,5,0.2,Mobile,Returning,Home Goods,5,0
204,26,103.32,13,42.99,Tablet,New,Electronics,14,0
205,54,2.07,10,104.25,Mobile,New,Fashion,11,1
206,50,31.35,5,128.27,Desktop,New,Electronics,9,1
207,68,2.31,26,232.31,Desktop,New,Home Goods,7,0
208,59,14.12,14,75.02,Mobile,Returning,Fashion,5,0
209,61,48.86,17,23.51,Desktop,New,Fashion,15,0
210,41,17.05,1,206.32,Desktop,Returning,Fashion,13,0
211,32,176.16,25,119.44,Mobile,New,Fashion,12,0
212,49,24.57,2,68.35,Mobile,Returning,Fashion,15,1
213,49,11.62,7,95.16,Tablet,Returning,Fashion,19,0
214,41,7.46,10,206.5,Mobile,Returning,Fashion,19,0
215,58,12.95,20,99.69,Tablet,Returning,Electronics,10,1
216,69,13.98,7,36.76,Mobile,Returning,Fashion,17,0
217,66,2.14,24,99.87,Desktop,Returning,Electronics,16,1
218,66,13.84,16,3.29,Tablet,New,Electronics,5,0
219,69,18.72,5,39.07,Mobile,Returning,Electronics,4,0
220,29,38.48,29,41.71,Desktop,Returning,Fashion,10,1
221,56,32.08,28,14.6,Desktop,New,Electronics,6,0
222,19,37.01,12,1.87,Desktop,Returning,Fashion,11,1
223,20,0.25,17,11.45,Desktop,New,Electronics,11,0
224,66,7.36,16,85.05,Desktop,Returning,Electronics,16,1
225,54,32.51,20,129.68,Desktop,Returning,Fashion,14,1
226,66,19.85,26,355.2,Desktop,Returning,Fashion,19,0
227,34,0.16,16,34.02,Desktop,Returning,Fashion,4,1
228,66,19.92,15,0.0,Unknown,New,Fashion,5,1
229,19,19.92,15,0.0,Unknown,New,Fashion,19,1
230,19,23.85,15,14.62,Mobile,Returning,Home Goods,17,0
231,45,19.92,12,0.0,Mobile,New,Fashion,18,0
232,40,43.64,21,112.51,Mobile,Returning,Electronics,8,1
233,54,26.29,10,7.45,Mobile,Returning,Electronics,4,0
234,49,45.69,29,158.01,Mobile,New,Electronics,18,1
235,50,41.8,26,134.18,Mobile,New,Home Goods,11,1
236,18,48.74,29,2.72,Mobile,Returning,Home Goods,14,0
237,36,21.89,22,7.64,Desktop,Returning,Home Goods,13,1
238,19,4.54,2,4.03,Mobile,Returning,Home Goods,16,0
239,61,33.37,7,32.61,Mobile,New,Fashion,12,0
240,43,29.06,13,56.95,Mobile,New,Electronics,9,1
241,49,19.92,15,0.0,Unknown,New,Home Goods,7,1
242,23,5.59,15,24.92,Mobile,New,Electronics,10,1
243,49,6.51,1,194.07,Desktop,New,Home Goods,17,1
244,21,66.33,26,36.74,Tablet,New,Fashion,18,1
245,28,41.59,3,3.73,Tablet,New,Electronics,7,1
246,34,71.65,25,28.56,Tablet,New,Home Goods,3,0
247,55,42.65,10,60.59,Mobile,New,Fashion,15,1
248,41,27.28,27,41.97,Mobile,New,Electronics,16,0
249,22,19.92,15,0.0,Unknown,New,Fashion,17,0
250,69,65.98,15,11.26,Desktop,New,Electronics,13,1
251,51,25.94,22,136.81,Mobile,Returning,Home Goods,3,1
252,23,30.02,27,444.68,Desktop,Returning,Fashion,5,1
253,39,5.11,6,31.98,Mobile,Returning,Fashion,9,0
254,28,19.27,20,38.45,Mobile,New,Fashion,18,0
255,65,37.81,15,76.99,Tablet,Returning,Home Goods,11,1
256,33,9.48,24,101.39,Desktop,New,Electronics,11,1
257,50,6.78,21,39.81,Desktop,New,Fashion,16,0
258,26,11.3,7,188.25,Desktop,Returning,Fashion,8,0
259,23,8.29,25,65.68,Tablet,Returning,Home Goods,2,1
260,33,7.26,29,47.88,Desktop,Returning,Home Goods,10,0
261,46,16.59,29,83.23,Tablet,Returning,Fashion,6,1
262,20,71.53,21,244.28,Mobile,Returning,Fashion,4,1
263,37,21.22,27,126.61,Desktop,New,Home Goods,5,1
264,53,6.24,5,3.27,Desktop,New,Electronics,11,0
265,36,2.4,4,32.31,Mobile,Returning,Home Goods,12,0
266,43,35.74,22,50.87,Tablet,Returning,Electronics,16,1
267,20,14.48,18,30.21,Tablet,New,Electronics,14,0
268,36,51.75,3,96.37,Mobile,Returning,Electronics,14,1
269,37,32.32,17,140.02,Mobile,New,Home Goods,15,1
270,49,47.72,18,105.15,Mobile,Returning,Fashion,8,1
271,24,9.52,18,363.25,Tablet,Returning,Fashion,5,1
272,69,35.36,24,25.46,Desktop,Returning,Fashion,9,1
273,58,9.2,24,166.35,Mobile,New,Home Goods,16,1
274,50,83.94,2,116.41,Desktop,Returning,Electronics,3,1
275,57,30.35,13,35.98,Mobile,Returning,Fashion,12,1
276,56,11.77,22,105.98,Desktop,New,Electronics,7,1
277,35,9.42,15,8.79,Mobile,New,Fashion,17,0
278,57,6.36,5,124.6,Mobile,Returning,Fashion,15,0
279,18,35.59,3,60.8,Desktop,Returning,Fashion,15,1
280,28,19.92,15,0.0,Mobile,New,Electronics,12,0
281,45,27.14,5,85.32,Mobile,Returning,Electronics,2,1
282,42,9.22,5,82.09,Mobile,Returning,Home Goods,8,0
283,67,32.54,3,18.81,Mobile,New,Home Goods,5,0
284,40,50.61,3,2.47,Mobile,Returning,Electronics,3,1
285,48,45.16,20,45.48,Tablet,New,Electronics,1,0
286,47,42.92,23,67.43,Desktop,New,Fashion,16,1
287,59,6.24,28,167.39,Tablet,New,Fashion,10,0
288,52,2.78,28,210.73,Tablet,Returning,Fashion,10,1
289,24,36.01,28,60.2,Mobile,Returning,Electronics,11,1
290,33,13.78,18,112.13,Mobile,New,Fashion,12,1
291,43,16.99,26,46.29,Mobile,Returning,Fashion,8,1
292,65,0.95,20,109.66,Desktop,Returning,Electronics,5,0
293,69,9.02,4,18.33,Desktop,New,Fashion,9,0
294,66,1.03,1,37.1,Mobile,Returning,Electronics,11,0
295,19,63.41,26,80.46,Mobile,Returning,Electronics,15,1
296,18,8.37,16,1.47,Desktop,Returning,Fashion,17,1
297,65,19.92,15,0.0,Unknown,New,Fashion,11,1
298,29,19.92,17,0.0,Tablet,New,Fashion,13,1
299,22,32.97,8,40.75,Mobile,Returning,Fashion,17,0
300,54,11.7,7,47.53,Tablet,New,Electronics,7,0
301,49,68.46,25,152.46,Mobile,Returning,Home Goods,9,1
302,26,65.71,8,119.57,Desktop,Returning,Fashion,18,1
303,58,11.8,21,27.19,Tablet,New,Fashion,18,0
304,52,69.37,24,31.32,Tablet,Returning,Home Goods,10,1
305,36,166.85,27,90.87,Mobile,Returning,Fashion,12,1
306,65,52.36,26,66.26,Mobile,Returning,Fashion,18,1
307,33,55.91,12,14.16,Mobile,New,Electronics,9,1
308,20,8.59,16,29.68,Mobile,Returning,Electronics,9,0
309,37,25.79,12,184.19,Desktop,Returning,Electronics,10,1
310,41,2.09,19,93.22,Tablet,New,Electronics,1,0
311,50,2.99,10,341.35,Mobile,New,Fashion,11,0
312,41,204.17,7,116.54,Mobile,Returning,Electronics,14,1
313,69,11.86,12,227.75,Mobile,New,Fashion,10,1
314,28,41.37,20,19.49,Tablet,New,Home Goods,14,1
315,66,49.3,5,118.09,Tablet,Returning,Home Goods,19,1
316,25,58.56,16,1.63,Mobile,Returning,Fashion,10,0
317,53,181.32,9,88.88,Mobile,Returning,Fashion,17,1
318,55,8.29,7,50.68,Desktop,New,Fashion,2,0
319,57,1.24,20,34.06,Desktop,Returning,Fashion,14,0
320,37,15.89,22,158.67,Mobile,Returning,Fashion,18,1
321,52,4.18,26,154.08,Tablet,New,Electronics,2,0
322,65,0.68,14,1.8,Tablet,Returning,Home Goods,19,0
323,42,13.41,11,75.23,Desktop,Returning,Fashion,8,1
324,52,45.94,7,36.69,Desktop,Returning,Fashion,6,0
325,42,25.05,29,42.98,Mobile,Returning,Fashion,7,1
326,46,11.25,10,142.72,Desktop,New,Fashion,13,0
327,35,31.87,29,29.67,Mobile,Returning,Fashion,2,1
328,63,7.92,9,229.24,Mobile,Returning,Home Goods,7,1
329,35,0.43,4,15.84,Mobile,Returning,Fashion,1,0
330,19,43.36,16,86.95,Mobile,Returning,Home Goods,6,1
331,52,29.32,10,89.2,Mobile,New,Electronics,16,0
332,33,43.1,19,23.25,Desktop,New,Electronics,8,1
333,58,1.19,24,31.41,Desktop,New,Fashion,13,0
334,53,19.92,15,0.0,Unknown,New,Electronics,18,1
335,50,28.99,9,114.77,Mobile,New,Electronics,14,0
336,21,24.86,13,31.93,Mobile,Returning,Fashion,18,1
337,50,29.39,1,61.08,Desktop,New,Fashion,4,1
338,31,59.95,2,5.09,Mobile,Returning,Home Goods,15,0
339,38,26.52,13,18.73,Tablet,New,Fashion,5,0
340,65,26.09,24,53.21,Mobile,Returning,Electronics,14,0
341,37,140.27,9,7.19,Desktop,Returning,Fashion,16,1
342,25,42.41,7,148.29,Mobile,Returning,Fashion,15,1
343,24,17.52,16,101.27,Desktop,Returning,Fashion,11,1
344,20,36.87,19,230.07,Tablet,New,Fashion,2,1
345,34,14.79,7,94.59,Tablet,New,Electronics,18,0
346,50,7.8,6,225.61,Tablet,Returning,Electronics,4,1
347,65,27.25,18,64.69,Mobile,Returning,Home Goods,15,1
348,29,79.01,19,73.35,Desktop,New,Electronics,12,0
349,68,79.41,11,301.68,Mobile,Returning,Fashion,3,1
350,39,12.55,29,82.21,Desktop,Returning,Electronics,4,0
351,39,22.5,12,2.5,Mobile,New,Electronics,16,0
352,63,7.13,29,102.93,Tablet,New,Electronics,6,1
353,47,163.0,26,188.71,Tablet,Returning,Electronics,2,1
354,55,119.09,10,127.01,Mobile,New,Electronics,9,1
355,55,31.45,13,70.13,Mobile,New,Fashion,12,1
356,62,48.95,12,89.01,Mobile,New,Electronics,12,0
357,68,37.67,21,369.96,Desktop,New,Fashion,14,0
358,25,26.98,10,7.6,Mobile,Returning,Electronics,17,0
359,44,1.64,20,88.03,Tablet,New,Fashion,9,1
360,44,18.2,18,26.66,Desktop,New,Home Goods,12,0
361,51,33.7,4,81.75,Desktop,Returning,Electronics,10,0
362,38,33.95,28,74.84,Desktop,New,Electronics,11,1
363,47,14.01,24,13.33,Mobile,New,Home Goods,2,0
364,50,85.26,5,18.53,Tablet,Returning,Home Goods,16,0
365,45,5.49,5,77.75,Desktop,Returning,Electronics,1,0
366,64,20.82,29,10.98,Tablet,Returning,Fashion,1,0
367,50,35.22,28,24.65,Desktop,New,Home Goods,2,0
368,22,35.83,12,144.26,Desktop,Returning,Electronics,12,1
369,65,31.38,26,31.69,Mobile,Returning,Electronics,18,1
370,36,9.66,3,53.56,Desktop,Returning,Home Goods,12,0
371,21,5.1,29,226.61,Desktop,New,Fashion,1,1
372,52,30.31,8,20.61,Desktop,New,Fashion,11,0
373,66,27.44,22,39.49,Desktop,Returning,Electronics,2,1
374,34,19.92,15,0.0,Unknown,New,Home Goods,12,0
375,61,36.64,18,112.63,Tablet,Returning,Electronics,2,1
376,45,18.22,9,185.54,Tablet,New,Electronics,17,0
377,47,33.06,13,197.65,Mobile,New,Electronics,6,1
378,46,54.49,7,119.92,Tablet,Returning,Electronics,16,0
379,63,5.58,10,20.74,Mobile,Returning,Home Goods,19,0
380,23,0.58,9,2.01,Desktop,New,Fashion,6,0
381,52,45.3,22,38.73,Mobile,New,Electronics,7,1
382,58,28.22,15,12.21,Tablet,Returning,Home Goods,19,1
383,54,36.08,5,99.14,Mobile,Returning,Electronics,17,1
384,41,54.63,12,86.57,Mobile,Returning,Fashion,6,1
385,46,48.71,1,3.6,Mobile,Returning,Fashion,15,0
386,66,97.26,12,144.92,Mobile,Returning,Home Goods,9,1
387,63,23.03,22,22.88,Desktop,New,Fashion,2,1
388,48,20.11,6,45.28,Mobile,Returning,Fashion,5,1
389,52,15.42,19,88.19,Desktop,Returning,Fashion,5,1
390,50,5.01,19,44.89,Tablet,Returning,Electronics,12,0
391,69,25.5,16,46.57,Desktop,Returning,Electronics,10,0
392,38,9.73,19,5.43,Tablet,New,Home Goods,4,1
393,49,76.27,3,41.06,Mobile,Returning,Fashion,12,1
394,40,19.92,15,0.0,Unknown,New,Electronics,15,1
395,50,26.96,10,197.37,Desktop,Returning,Electronics,10,0
396,20,13.15,27,42.69,Mobile,New,Fashion,18,1
397,35,1.6,18,44.07,Tablet,Returning,Fashion,5,0
398,42,0.97,26,97.02,Mobile,Returning,Home Goods,13,1
399,59,16.51,13,228.86,Tablet,New,Electronics,4,0
400,48,2.65,26,24.86,Mobile,New,Electronics,9,1
401,20,28.01,18,46.41,Desktop,Returning,Fashion,18,1
402,57,63.85,3,127.16,Mobile,Returning,Home Goods,3,1
403,63,64.35,26,75.27,Mobile,New,Electronics,11,1
404,41,32.28,28,9.38,Desktop,Returning,Home Goods,4,0
405,67,7.12,23,79.05,Mobile,Returning,Home Goods,9,1
406,49,59.63,3,16.54,Desktop,Returning,Home Goods,12,0
407,64,65.17,23,57.1,Desktop,New,Home Goods,10,1
408,39,6.57,25,60.25,Mobile,Returning,Fashion,10,1
409,40,40.12,27,167.13,Tablet,New,Home Goods,9,1
410,19,10.13,26,49.67,Mobile,New,Fashion,10,1
411,44,48.68,12,26.22,Desktop,New,Home Goods,9,1
412,59,176.75,27,21.01,Desktop,Returning,Fashion,1,1
413,19,0.91,20,165.88,Desktop,New,Electronics,16,1
414,43,68.3,7,15.0,Mobile,New,Fashion,14,0
415,34,29.24,25,44.39,Mobile,New,Home Goods,13,1
416,57,108.79,24,16.58,Desktop,Returning,Fashion,6,1
417,50,18.77,8,118.73,Mobile,Returning,Electronics,14,1
418,26,56.4,9,51.45,Mobile,Returning,Home Goods,8,1
419,60,1.93,14,34.6,Desktop,New,Electronics,18,1
420,65,12.25,5,35.84,Desktop,New,Fashion,1,1
421,56,2.08,21,152.96,Mobile,New,Electronics,12,1
422,46,111.08,19,64.55,Mobile,Returning,Fashion,11,1
423,59,50.94,21,101.23,Mobile,New,Electronics,13,1
424,43,57.43,16,181.87,Mobile,New,Home Goods,4,1
425,52,83.4,24,185.61,Mobile,Returning,Electronics,6,1
426,67,2.67,12,31.86,Mobile,New,Fashion,13,0
427,42,14.61,21,0.0,Tablet,New,Fashion,13,1
428,41,2.21,4,2.02,Desktop,New,Home Goods,6,0
429,30,7.1,8,37.84,Mobile,New,Fashion,4,0
430,24,7.82,7,180.91,Mobile,Returning,Electronics,3,0
431,53,19.0,15,25.69,Desktop,Returning,Electronics,15,0
432,62,9.38,6,25.52,Mobile,New,Home Goods,11,0
433,37,3.19,5,28.83,Desktop,New,Home Goods,2,0
434,18,5.5,14,75.8,Tablet,Returning,Fashion,17,1
435,25,4.78,21,46.15,Desktop,Returning,Electronics,2,0
436,63,108.44,13,103.79,Mobile,New,Electronics,1,1
437,33,42.73,10,180.24,Desktop,Returning,Fashion,5,0
438,31,103.04,18,89.72,Tablet,New,Fashion,17,0
439,29,17.38,29,18.3,Desktop,Returning,Electronics,1,0
440,68,9.79,4,215.87,Desktop,Returning,Fashion,7,1
441,40,48.03,8,24.58,Mobile,Returning,Home Goods,3,0
442,32,11.85,24,12.99,Mobile,Returning,Fashion,16,1
443,45,10.67,11,7.54,Desktop,New,Fashion,16,0
